Tweets;Status
Turkcell 10G de yapsa bu internet düzelmez. Bir fotoðrafýn açýlmasý yarým saat sürüyor;2
Hani turkcell heryerde çekiyordu;2
Acaba benim hattým neden kendi üstümde deyil bu turkcell in kazýklarýndan býktým amk baba duy sesimi;2
En kazýk operatör Turkcell'dir aksini idda eden olmasýn;2
turkcell kadar þerrefsiz bi operatör daha yok;2
Çiftehan da turkcell neden çok az cekiyor;2
Turkcell kadar mal bi operatör yok aq;2
Numaramý deðiþtiriyorum yeter. Turkcell amk.;2
Cart parasý curt parasý diye sürekli faturama geçiren turkcell sana da çok sövdüm.;2
30 liraya sýnýrsýz internet yaptýrdým sanýrým turkcell yine kazýk attý yine keklendim arkadaþlar;2
Ve bu köþede de yavaþlýktan ölen bir adet Turkcell;2
Turkcell'in amk niye çekmiyor bu internet;2
Turkcell çekmiyooo kahretsin;2
Turkcell sömürüyor bildiðin;2
Turkcell allah belaný versin;2
turkcell in allah belasýný versin bu da ilk bedduamdýr;2
@Turkcell Yalan söyleyen, sigortalý telefonumu sigorta kapsamýnda deðil diyerek geri çeviren Turkcell'den hala ses seda yok;2
Eve geldim hala turkcell deki adama sinirim geçmedi ..;2
Turkcell her yerde çeker diyorsunuz lan evin ortasýnda þahin pozu aldým yine de çekmiyor;2
Turkcell e gectigim icin pismanim;2
Allahin belasý kazýk turkcell !!!!;2
Ýnternet paketini sömürüyor yine allahsýz turkcell;2
Turkcelle geçtim turkcell evde çekmiyo aq;2
Ne biçim Turkcell'sin sen ya þehirdeyim çekmiyor.;2
Klozette edge cekiyor turkcell bu ne sacmalik;2
Turkcell abv odam da bile çekmemeye baþladýn gerçekten;2
Turkcell superonline bok gibisin bok;2
Turkcell urunu kullanirsam en adi serefsizim!;2
Turkcell çekmiyor arkadaþlar inanmayýn;2
Turkcell allah belaný versin, bin yaþa VODAFONE;2
söylesene Turkcell odamda neden çekmiyorsun?;2
hiç bir oparetör dürüst deðil turkcell faturama internet paketimi aþmýþým diye 13 tl kitledi sözde otamatik duracakdý sahtekarlar;2
ulan bu gerizekalý turkcell kardeþimin öldüðüne dair eve yazý yollamýþ.;2
Bitmeyen fatura yapmýþlar ömrüm sizi ödemekle geçiyor heleki Turkcell Allah senin belaný Tövbe Tövbe ya;2
turkcell son zamanlarda iyice cortladý. internet hýzý rezalet, yer yer hiç çekmiyor. kontratým bittiði an vodafone'a geçeceðim.;2
Bu ay Turkcell'den yemediðim kazýðý yedim. 50 lira yükledim ama gelin görünki elde var 0. Bir de þu ÝMessage uyanýklýðý var tabii.;2
Bugün Mutluydum Ama Bu Turkcell beni Sinir etti Þuanda;2
Turkcell benim internetim bu hafta niye böyle yavaþ!!!;2
Yýldým vallaha yýldým Allah telefonumun da turkcell'in de belasýný versin;2
Turkcell internet baðlantý hýzýnda açýk ara sýnýfta kaldý, çok yazýk !!! Ne eziyet çekmiþim!!!;2
Vodafone gibi Turkcell yapmýþlar olmamýþ bu;2
6 7 senedir turkcell kullanýyorum ama allah belani versin haram zýkkým olsun verdiðim paralar;2
Turkcell Samsun da zor çekiyo adada nasýl çeksin býrakýn bu ayaklarý;2
Turkcell ne geçirdi beeee;2
Turkcell galiba bana gelince internet paketini yavaþlatýyor;2
Hani turkcell heryerde 4 çekerdi metroda telefonla konuþamýyoruz bunu bana biri açýklasýn;2
Turkcell reklam mesajlarý için numaramý sattýgýn her firma için Allah belaný versin!!!;2
Ulan turkcell odedigim faturalar haram olsun bole net hýzý olmaz olsun!!!;2
yemin ederim bu turkcell müþteri hizmetleri bir ton otistik ve moronla dolu;2
Embesil Turkcell bu saatte mesaj mý yollanýr üstüste !;2
Çekim gücüne sövmemek için zor tutuyorum kendimi turkcell;2
Ömrümü yedin turkcell;2
@pelinozgen gayrettepe'nin göbeðinde býrakýn 3G'yi edge hýzýna bile eriþemiyor turkcell.. neyin kandýrmacasý bu?;2
Lan odada avea çekmiyo diye turkcelle geçtim þimdide turkcell çekmiyo avea full baþlarým böyle iþe;2
Ya benim odamda telefon çekmiyor arkadaþlar.(Turkcell) Resmen 50 yýl geride yaþýyorum ben.;2
Hattýmý tekrar Avea mý alsam, yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmýyorum bile. Kafamda deli sorular;2
#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...;2
Turkcell reklamlarý kadýnlarý neden bu kadar çok aþþaðýlýyor güllerin içinden yoksa vermez kucaktan kucaða zýplattýlar kýzý;2
Turkcell türk telekom arena' da bile internetin kaðný gibi.sana verdiðim para haram olsun...;2
Kandýrdýn beni turkcell,her þey bitti;2
Yaþasýn yarýn vodafone'a geçme kararý aldým. turkcell'e para yedirmeye son :DD;2
Ulan on numara mekan sýcak suyum bile var ama þebekem yok amk turkcell vodafone'ye geccem kesin;2
Önemli þahýstan mesaj beklersin beklersin Çat mesj gelir bir an heyecanla o mu acaba diye bakarsýn sonra Turkcell olduðunu görünce söversin!;2
8 senedir kullandýðým Turkcell numaramý Vodafone'a taþýdým gerçekten iyi bi karar oldu insanlarý sömürüyorlar ya ücretlendirme normal deðil.;2
Turkcell bile ygsye sayýlý günler kaldý diye mesaj atýyo. Amacanýz bizi çýldýrtmak mý?;2
Geçerken arasýndan daðlarýn tepelerin, geldi veda zamaný Turkcell 3G'nin.... :/ bu devirde edge mi kaldý yeaa;2
Turkcell'in reklamlarýnda müthiþ bir kalite düþüklüðü var. Reklam fikri de parlak deðil, Prodüksiyon da baþarýsýz.;2
Turkcell'in hani interneti hýzlýydý,kandýrýldým;2
Turkcell artýk yeter .Býktýrdý reklam ve aday mesajlarý.24 saat gece gündüz yaðýyor.Numaramý satýp sen para kazanýyorsun ben çýldýrýyorum.;2
Yandaþ, yalaka hale gelen turkcell kullanmýyorum kullanýlmasýný tavsiye etmiyorum;2
Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana;2
Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felç ! Hakkýný verin Hýz limitimi nasýl düþürüyorsun dolandýrýcýsýnýz;2
Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell;2
Turkcell yine çekmiyor. Aldýklarý para boþuna;2
Turkcell su kontratým bitsin turkcell mi tövbe;2
Turkcell'in reklam filmi, Fatih'in Fedaisi Kara Murat filminden daha heyecanlý yeminle... Eziyet resmen;2
beni uðraþtýran turkcell ve apple bir tutam küfürü hakettiniz(bedeli ödendi);2
þuan çok sinirliyim aq þu turkcell þerefsizi internet paketimi bitirdikten sonra sosyal paketimden kullanmaya baþlayabildim abv;2
Digitürk ttnet turkcell 5 para etmezsiniz alayýnýzýn amk;2
Turkcell denen illet nedir bilirmisin internet paketim bitti benimle gelirmisin.;2
Turkcell internetin bitti diye mesaj atýp durma moralim bozuluyor pislik;2
8 sene bu turkcell in kahrýný nasýl çekmiþim amk yaa;2
Turkcell daha demin seni övdüm ama þimdi sövüyorum. Yaptýðým paket deðiþmiþ whywhyhwy. Abv turkcel;2
Turkcell yeter amk eski sevgilimden daha çok mesaj atýyosun;2
Turkcell'den kurtulmuþ biri olarak çok yanlýþ insaný arýyorsunuz #turkcell;2
turkcell yavaþ internette 1 numara;2
Allah belaný versin turkcell;2
Turkcell 3G'nin þu ara sýçtýðýný düþünüyorum..;2
Turkcell kadar boktan bi operatör görmedim;2
Turkcell fiyat olarak geçirmeyi çok iyi biliyorsun ama hala internet baðlantýn leþ;2
Ýnternet paketim dogum günümde bitiyormus ulan Turkcell yine yaptýn yapacagýný;2
Turkcell kadar kazýkçý bi hat yok;2
Turkcell den bi türlü kurtulamadýk abi;2
Turkcell Allah seni bildiði gibi yapsin kampanyalarinla ilgilenmiyorum sýrf bu yuzden de hattimi taþýyacam.zaten internetin de cekmiyor;2
Ben Turkcell kadar kazýkçýsýný görmedim;2
Ayýp ettin turkcell;2
Gözün çýksýn turkcell! O parayý sana netin çekmesin diye mi bayýldým;2
Turkcell reklamýndaki gençleri gördükçe gençliðimden utanýyorum lan;2
Ýnternet paketine söveyim turkcell;2
Avea çekmiyor, Vodafone da tarife yok, Turkcell kazýk. Pttcell mi olsam acep lan;2
96kbps hýzda internet mi olur turkcell allahsýz felan mýsýn;2
Turkcell sömüre sömüre bi þey býrakmadýn be bizde;2
Turkcell bile çekmiyor arkadaþ deli etti yada yoðunluk mu var neci;2
Turkcell itina ile 3 gecedir bana sýkýntý yaratýp duruyorsun yeminle canýmý sýkýyorsun he;2
RTE den bana bayram mesajý geldiði için turkcell i kýnýyorum. Çok pis kýnýyorum hem de;2
Turkcell çok yavþaksýn;2
Çok utanýyorum ama itiraf edeyim.o mesaj az önce bana da geldi. Turkcell i yarýn býrakýyorum;2
Turkcell sarý kutudan migros sanal market çeki almayýn, þifreyi yollamýyorlar, rezillik;2
Turkcell yedi sülalene sövdüm amk;2
Turkcell Allah bin belani versin;2
Sakin su Turkcell'in Winn'indan kullanmayin, hem her yerde iyi cekmiyor, hem de sozlesmeyi iptal ettirene kadar canim ciktý;2
Turkcell 11 ay boyunca kazýklýyor ramazanda da millet hattýný taþýmasýn diye böyle yapýyor;2
Turkcell den yine kazik yedik. Artik bu son idi. Vodafone a geciyorum ben;2
Turkcell ile yollarýmýzý ayýrdýk mutluyum;2
Turkcell'den nefret ediyorum;2
yýllardýr turkcell bizi kazýklýyodu sonunda avea dayanamadý bize kucak açtý;2
Þerefsiz turkcell, daha yeni getiriyorlar turkcell'e o kadar bekledim sony xperia z2 yi daha yeni geldi amk. Bu akþam iyi sövdüm size;2
off of ömrümü yedin turkcell;2
Turkcell ne þerefsizsin;2
Turkcell de ayrý bi þerefsiz yeminle;2
Allah belaný versin turkcell inþallah iflas edersiniz;2
Her yerde çekiyorsun fakat fena geçiriyorsun Turkcell;2
O deðil de bugün kerim turkcell den fena kazýk yedi;2
Turkcell turbo Ýnternet'e sakýn geçmeyin, çevirmeli aðý mumla ararsýnýz, berbat ötesi baðlantý hýzý var;2
Turkcell'deki bu net kopmasý beni deli ediyor. Havadandýr havadan;2
Kandil diye kilitlenirsin, deprem olur titrersin,gecirdin mi on numara geçirirsin,lan turkcell Allah belaný versin;2
Bu þerefsiz turkcell her seferinde internet paketimin bittiðini haber vermiyor ve bakiyemden yiyor. Bildiðin hýrsýzlýk amacý -8e düþürmek;2
Allahým konturumu yedi sms yapmadý oc turkcell;2
Turkcell avea vodafone reklamlarýndan irite oldum arkadaþ, biz size neden para veriyoruz? En ufak depremde hatlar kesilsin diye mi;2
Bu turkcell telefonlarýnýn baþýna buyruk tavýrlarý da ayrý bi sinir bozucu;2
Çok pahalýsýn be turkcell;2
7 yýllýk turkcellli hayat bitti. Allah belaný versin turkcell;2
Turkcell nefretimi kazandý bu sefer;2
Artýk vodafone'a gecmem lazim turkcell býktýrdýn beni;2
Evin bi yerinde internet çekmez, bi yerinde telefon zaten hiç çekmez. Baþlýycam Turkcell'den de onun çekim gücünden de;2
Hayat kazýklarla dolu.Bkz.Son turkcell faturam 70 lira.Kredi kartýmýn bloke ettiði rakam 100 lira.Sorunlarýn yarattýðý stres paha biçilemez;2
O deðilde Turkcell çok masraflý;2
Turkcell tam bir sömürge sirketi;2
Devlet dinlenme korkusu olmadan gizli bir toplantý yapmak isterse benim eve gelsin Turkcell bile çekmiyor..;2
Turkcell 3G bu saatte felaket yavaþ.. Hayrola? @turkcellhizmet @turkcell;2
Bugun de turkcell in bana attigi kaziklara agladim iste ama hayat devam ediyor;2
Onca zamandan sonra beni bu gece þair yaptýnýz ya helal. Tüm küfürlerim turkcell ve hayata;2
Turkcell bana mesaj atmasýn baska bý sey ýstemýyorum duygularýmla oynuyor serefsýz;2
Turkcell tamam sana uyuz olduðum doðru da hattýmý iptal etmeyeydin eyiydi.;2
Berbat reklam turkcell;2
Turkcell yedin bitirdin beni be askerde yapma hic olmazsa;2
627 tl turkcell faturasý yatýrdým yuh ki ne yuh;2
Odemeye her gittigim de sorunla karsilastigim bi turkcell ve odemeyi gerceklestiremedigim bi telefon faturam var;2
Kazýkla turkcell kazýklaaa. Yarýn ilk iþ numarayý taþýmýyomuyum;2
Turkcell kadar baþarýsýz bi internette görmedim;2
Yemin ediyorum Turkcell benden kestiði paralarla zengin oldu;2
Allahsýz turkcell bi oðrenciden 194 tl fatura parasi alinirmi lan Allahin yokmu senin. Ýcim yaniyo icim;2
Lan bu turkcell mal mi? Smsi 33kurusa atti;2
Nalet Turkcell Nalet;2
Sonunda turkcell eziyetinden kurtuluyorum allaaam;2
Turkcell reklamlarýndan dolayý operatörümden utanýyorum;2
Turkcell senin Allah belaný versin;2
Internet hýzýna sokayým Turkcell;2
Turkcell bizim tuvalette internetin cekmiyor;2
Turkcell senin aðzýna etsinler, sevgililerin ayrýlma sebebi olacaksýn;2
Turkcell'den hiç memnun deðilim iptal ettiresim var;2
Aklýn yolu birdir yavþak Turkcell'in ismi var diye aldanmayýn Avea on numara kýsa zaman sonra geçiyorum en azýndan abonelerini koparmiyo;2
sabriyide reklamda oynatttýn ya allah belaný versin turkcell;2
Sabri reyiz ile ilgili onlarca guzel reklam cekilebilirken turkcell gibi bi marka dunyanin en mal reklamini cekti;2
Sonunda kurtuldum turkcellden fakyu turkcell;2
Turkcell kadar boktan bir operatör olamaz !! Turkcell'e geçtiðim güne lanet olsun;2
TURKCELL ALLAH BELANÝ VERSÝN !!!! Evet versin yaa fatura odeniyor 1 hafta bitiyo ek paket var hala internet kisitlaniyor !!!!!! Bu ne yaa;2
Sen turkcellsin lan turkcell senin çekmeme gibi bi lüksün yok;2
Lanet olsun sana turkcell!!! 10 günde hem 500 mb netimi bitirip hemde iki katý fatura yollandýn bana.Allah sizin evinize ateþ düþürsün;2
Arkadaþlar turkcell 4 falan çekmiyo. Hiç çekmiyor hatta;2
Sömürdün bizi turkcell;2
Turkcell reklamlari saçma ötesi sadece çalýþanlarýyla duygu sömürüsü yapýyo;2
Yemin ederim býktým senden turkcell;2
Allah internet hýzýmý düþüren Turkcell'e ateþler salsýn;2
Gece gece turkcell 'e sövme keyfii;2
Turkcell mesajlarý geç iletiyorsa bu benim suçum mu;2
Turkcell'in duygu sömürülü bol aglamaklý reklamlarýndan sýkýlmadýk mý;2
Coca cola'yla Turkcell'in reklamlarý resmen insanlarý duygularýndan vurmak için var;2
Kýz Turkcell, Allah umutlarýný sinende býraksýn, ocaðýna ateþler salsýn e mi, böyle fatura olur mu laayynn;2
Turkcell kadar mal bir operatör tanýmýyorum ayar etti beni sabahtan beri;2
Allah bu kapitalist dünyanýn belasini versin. Turkcell,vodafone hepsi soyguncu. Hizmet SÝFÝR;2
Turkcell senin Allah belaný versin bok gibi internet paketi yapmýþsýn;2
Hayýr turkcell ben sana sövmekten býktým sen sövülmekten býkmadýn;2
Telefon nete o kada yavaþ baglanýyo ký atcagým twýtý unuttum allahýn yok mu lan turkcell;2
Bi film izleyecektim burnumdan getirdin Turkcell.;2
Turkcell reklamlari çok salak;2
yarýn gidiyim de Avea' ya geçiyim Turkcell' den hayýr yok artýk;2
Devlet bir turkcell iki hýrsýzlýkta yarýþýyorlar birbirleriyle;2
Bu turkcell kadar hýrsýz görmedim;2
Bu, Turkcell. Bugünde insanlarýn duygularýný sömüren saçma sapan bir reklam filmi yayýnladý;2
turkcell ne kadar sacma salak reklam yapmaa basladýý yaa;2
Turkcell yine yaptý yapacaðýný;2
turkcell lanet olsun cok kaziksin amk;2
Allah belani versin Turkcell;2
Sýrf dk sý 70 kuruþ diye sesli mesajýmý dinleyemiyorum. Kahrolsun fakirlik,kahrolsun turkcell;2
Hasstýrr ya internet paketim bitti whatsapp da kapandý. Lanet olsun bu hayat lanet olsun Turkcell;2
Turkcell maxiplus5 alacak veya düþünen varsa vazgeçsin çok berbat biþy taksiti var diye kýramoyrm yoksa duvara yapþtýrýcam;2
Turkcell saçma saçma mesajlarý atmayý kesermisin lütfen;2
Turkcell sanirim suan Yesilkoy'de bizim eve ugramiyor. Babam ve benim telefonumda servis yok diyor;2
Turkcell beni sesimden tanýr. Turkcell beni sesimden tanýr. Turkcell beni eeee allah belanizi versin ya;2
Bugünün bütün beddualarý turkcell internete gelsin , çýldýrttýn beni delirttin kafayý yedirttin;2
turkcell kadar para düþkünü ve dolandýrýcý bir operatör daha yok. yaþasýn avea;2
Turkcell reklamýnda yayvan yayvan konuþan bebeyi duyunca sinirleri tepesine çýkan bir ben miyim yaa;2
Turkcell lanet olsun sana ya;2
la bu turkcell caný sýkýldýkça paramý alýyor býktým la sizden;2
Turkcell , Vodafone, Avea boþuna reklam yapýyolar çünkü bizim köyde hiç biriside çekmiyor;2
Bu bodrumda neden turkcell interneti yavas avea bile daha iyi çekiyo yaziklar olsun turkcell;2
Su turkcell reklami ne kadar salakca lan anlamini bilmiyor yazilisini biliyor adam;2
Turkcell kadar kazýk bir hat daha yok;2
Turkcell kurumsal musteri temsilcisinin babamla imtihani, adam geldigine gelecegine pisman oldu;2
"Nefret ederek kullandýðým 3 þey; Babet çorabý, streç film, turkcell.";2
kazýk turkcell;2
Turkcell annen ölsün yaa;2
Ýnternetin yavaþlýðý gözlerimi dolduruyo turkcell;2
Bir ton para veriyorum adam gibi çekmiyor. Ya biraz daha verip turkcell keyfini süreceðim ya da avea'ya geçip daha az paraya rezil olacaðým!;2
Turkcell Allah belaný versin, bu gün gazete okuyamadým, sosyal aðlara giriþ iþkence oldu, zaten dengesizim biri ile uðraþýyorum;2
Turkcell kadar iðrenç bir operatör yok;2
Turkcell'in reklamlarý beni küçük çocuklardan soðutuyor;2
Turkcell kadar þerefsiz varmýya tl yüklendiðini internet paketinin yenilenmesinden anlýyorum tl yi görünce hemen alýyo;2
Turkcell bildiðin adam soyuyor yaa yok böyle biþey baþka bir operatöre geçmem an meselesi yeter sömürdükler;2
Turkcell çözüm getirmedin, bari müþteri hizmetlerinden para alma.;2
'Turkcell beni sesimden tanýr' derken kendimi dünyanýn en mal insanýymýþ gibi hissediyorum.;2
bu turkcell reklamlarýndaki insanlar gerçekten bu kadar gerizekalý mý acaba;2
Ah Turkcell ah, beni bu þapþal uygulamalarýnla hergün biraz daha Vodafone'un kollarýna ittiðini bilsen bunca duyarsýz olur muydun;2
80 tl cepfaturasi mi olur hani hayat paylasinca guzeldi. Allah belani versin turkcell;2
Turkcell gibi diðerleri de çaðrý merkezini arayýp da müþteri temsilcisi ile konuþtuðumuzda ücretlendiriyor mu,yoksa Turkcell usulü kazýk mý;2
ÞU TURKCELL REKLAMLARINI ÝZLEDÝKÇE GENÇLÝÐÝMDEN UTANIYORUM AQ;2
Turkcell'e bayýldýðým paralar haram olsun lan;2
Son gelen turkcell telefon faturasindan sonra vodafonea gecmek sart oldu. Brand loyaltyde bi yere kadar ama;2
Turkcell reklamlarindaki o kucuk kizi alip bogabilirim;2
Digiturk, ttnet ve turkcell iptallerine doðru yol alýyorum.. Deðiþim güzeldi;2
Þu turkcell ve freezone reklamlarý çýkýnca geçliðimden utandýðým doðrudur;2
Turkcell tarafindan kaziklanmam disinda, cok guzel bi gun;2
Bi de her yerden çekiyomuþ.Bak bak yalana bak.Odamdayým be Turkcell;2
her ay artan sms ve mms hakkimda haram olsun sana turkcell;2
Koskoca Silivri de telefon çekmiyor. Turkcell burayý teðet geçtiyse demek ki.;2
Vodafone'a geçtim, lanet olasý Turkcell'den kurtuldum;2
Þu turkcell kadar þerefsiz yok. Facebook paketi alýyorum 2 dk sonra paketin yok diyo birde utanmadan paramý alýyo;2
Turkcell kadar yüzsüzünü de görmedim. Cevap vermedikçe daha çok mesaj atýyor;2
Yine turkcell reklamýný izledim zarardayým hesap ortada kahrolsun turkcell #diren70milyon;2
Turkcell'ciðim, teknolojini ilerletecek çaðý mý buldun gülüm? Batýrdýn beni aptal gerizekalý;2
turkcell'e dava açalým mesajlar iletilmiyor bu ne rezalettir;2
Sosyal paketim olduðuna raðmen 1 krs, 10 krs alýp kontürlerimi yiyen #Turkcell Allah belaný versin, en kýsa zamanda Turkcelli býrakýcam;2
Turkcell paramý aldý paketi yapmadý þimdi saldýrýcam;2
Turkcell senden nefret ediyorum;2
Sirf bu yuzden vodofondayim turkcell pismanliktir;2
Allah belani versin turkcell beni gec sulalemde 25 yasina basan insan yok;2
Hergün turkcell mesaj atýyor diye hattý mý vodafone yaptýrdým salaklar farketmediler hala mesaj atýyorlar kontörleri gidiyor kafam yinezehir;2
Allah turkcell kere belani versin;2
Internet paketim olduðu halde neden paralarýmý yiyosun, zalimsin turkcell;2
Kotasýz internet istiyorum turkcell Allah belaný versin;2
Turkcell senin kadar serefsizini gormedim;2
Turkcell faturamý bir kabartýyor bir kabartýyor ayar oluyorum;2
Birde Turkcell'in çekim gücü vardý bok var;2
Vallahi yalan turkcell;2
o tl bu gecede gelmez ama faturaya yansýrsa seni yaktým turkcell;2
Turkcell cevizlibað ýn göbeðinde tercüman sitesinde çekmiyor;2
eski telefon faturamýn ödenmemiþ 200 lira borcu varmýþ :/ turkcell ciðerimi yedin doymadýnmý amk;2
Internet paketý yapýcaktým Turkcell 2 tl aldý lanet olsun yaa;2
Cahit Berkay'lý Turkcell reklamýndan iðreniyorum.Yok böyle iðrenç reklam ya resmen;2
Turkcell Cüzdan uygulamasý tam bir felaket. Korkunç yavaþ ve hatalý! Birde Nasýl reklamýný yapýyor @Turkcell bu uygulamanýn @turkcellcuzdan;2
Turkcell seni cok kotu parcalarim, kontorlerimi yemekten bikmadin amk;2
Sabah sabah turkcell 9 tane mesaj attii yuh be;2
Turkcell'in reklam ajansý gerçekten inanýlmaz kötü;2
Turkcell Style den sonra Harlem Shake .. Turkcell reklamlarýda baydý yani;2
Turkcell Harlem Shake reklaminda saygi cercevesinde danseden gencler sinir bozucu;2
Harlem shake midir nedir hic izlememistim gerzek turkcell reklamlari yuzunden 3 kere izledimve su an kendimden nefret ediyorum;2
Turkcell iþin foseptiðini çýkarmýþ artýk...þimdi de Harlem Shake versiyon reklam yapmýþlar lanet olsun;2
Turkcell in harlem Shake reklamýný da gördüm ya artýk beyinin bedava olduguna hakikaten inandým ne Salak sarki bu ya;2
turkcell bana hayatýmýn kazýðýný attý kontör yüklüyom anýnda bitiyor;2
@YSaltkalp bi sms için uðraþlarýmýz. Lanet olsun turkcell;2
Tl yükledim þerefsiz turkcell paramý aldý ben ne hayaller kurmuþtum halbuki sms yapýcaktým;2
Daglarda tepelerde vadilerde ceken Turkcell goztepe karsiyaka arasi denizde cekmiyor;2
reklamýn iyisi kötüsü olur arkadas!!asla turkcell almam alanada mani olurum!!! ceo'n ömrü boyunca rüyasýnda ahmedim nerdesin görsün insallah;2
Allah belaný versin Turkcell baþka biþey demiyorum;2
Hülya Koçyiðit'li Turkcell reklamý ne sinir bozucu yahu! Ahmedim nerdesin? Ahmedim nerdesin? Ahmedim nerdesin? Cehennemin dibinde Ahmedin;2
Çaycýsýndan kurucusuna kadar sövdüðüm Turkcell senin ben taaa;2
gerizekalý, öküz, salak, adi turkcell sýnýrsýz paket diyosun 2 günde paramý bitirdin dava edicem süründürücem;2
Internetim yok, Turkcell Istinye gibi bir yerde cekmiyor. Su an bu tweeti atabilmem bile mucize;2
Turkcell e ettiðim küfürü kimseye etmedim;2
Vodafone > Turkcell bunu anlamak cok zor olmadi lanet olsun Turkcell;2
Turkcell yedi bitirdi beni her ay 220-250 tl arasý fatura ödemekten yoruldum;2
turkcell reklamýnda adamýn beþ kuruþ parasý yok ama tablet alýyor nasýl bir saçmalýk amk;2
Turkcell soydun yine beni !!! Her ay olmaz böyle;2
Turkcell sana kufur etmeye nerden baslasam býl,yorum ama senn gelmýsýný gecmýsýný gelecegýný ve dýgerlerýný anladýn sen;2
Çift taþýyýcýsý olmasa bu rezil 3g (genelde 2g) daha da rezil olacaktý herhalde sayýn Turkcell;2
Keremcemli albeni reklamý, mustafa sandallý turkcell reklamýndan daha da itici;2
Hayatýmda en fazla küfür ettiðim turkcell operatörüdür güleryüzlü hýrsýzlýðýn simgesi olduðunuz için allah bin belanýzý versin þerefsizler;2
Turkcell beni yine ayar etti ya;2
turkcell sana nasil sovdum belli degil.;2
Hayatýmda duyduðum en saçma cümle ''Turkcell Beni Sesimden Tanýr'';2
turkcell sen ne berbat bi müþteri hizmetine sahipmiþsin.senýn ne lanet bi teknolojin varmýþ.bi sorunu 24 saatte çözemedin, reklamlar çöpe;2
Turkcell iphone5 reklami ne kadar sacma;2
Turkcell bugün sana ettiðim kadar kimseye küfür etmedim;2
Turkcell style reklamýný izledikten sonra Turkcell'li olmaktan utandým;2
Allahýn cezasý turkcell yine sms paketimi yeniledi yeter lan isteemiiiyoorum;2
turkcell yeni yýla sevdiklerimizle konuþarak girmek istedik ancak turkcellhizmet saðolsun çekim kalitesi müsade etmedi !!!!!!!!;2
turkcell superonline a da turkcell yüzünden sýcak bakmýyorum.herþeye para ve kampanyalarý çok pahalý geliyor diðer firmalara göre..;2
turkcell'e ödediðim faturalarla kendime iphone ipad almýþtým. kalp hastasý ettiniz beni;2
zamanlaman süper turkcell !!;2
ilk defa lanet okuyorum, hayatý paylaþtýkça maffeden turkcell'e...;2
